,Country,Population,Numer of Starbucks,Starbucks per million inhabitants,Country_Alpha,Continent,Country_Alpha_3,Latitude,Longitude
0,United States,316128839,11851,37.49,US,NA,USA,39.7837304,-100.4458825
1,China,1357380000,1462,1.08,CN,AS,CHN,35.000074,104.999927
2,Canada,35158304,1425,40.53,CA,NA,CAN,61.0666922,-107.991707
3,Japan,127338621,1052,8.26,JP,AS,JPN,36.5748441,139.2394179
4,United Kingdom,64097085,770,12.01,GB,EU,GBR,54.7023545,-3.2765753
5,Mexico,122332399,423,3.46,MX,NA,MEX,22.5000485,-100.0000375
6,Taiwan,23340000,316,13.54,TW,AS,TWN,23.9739374,120.9820179
7,Philippines,98393574,234,2.38,PH,AS,PHL,12.7503486,122.7312101
8,Turkey,74932641,213,2.84,TR,AS,TUR,38.9597594,34.9249653
9,Thailand,67010502,204,3.04,TH,AS,THA,14.8971921,100.83273
10,Malaysia,29716965,172,5.79,MY,AS,MYS,4.5693754,102.2656823
11,Indonesia,249865631,168,0.67,ID,AS,IDN,-2.4833826,117.8902853
12,Germany,80621788,159,1.97,DE,EU,DEU,51.0834196,10.4234469
13,United Arab Emirates,9346129,106,11.34,AE,AS,ARE,24.0002488,53.9994829
14,Singapore,5399200,106,19.63,SG,AS,SGP,1.357107,103.8194992
15,France,66028467,101,1.53,FR,EU,FRA,46.603354,1.8883335
16,Brazil,200361925,85,0.42,BR,SA,BRA,-10.3333333,-53.2
17,Russian Federation,143499861,85,0.59,RU,EU,RUS,64.6863136,97.7453061
18,Spain,46647421,84,1.8,ES,EU,ESP,39.3260685,-4.8379791
19,Argentina,41446246,73,1.76,AR,SA,ARG,-34.9964963,-64.9672817
20,Peru,30375603,73,2.4,PE,SA,PER,-6.8699697,-75.0458515
21,Kuwait,3368572,70,20.78,KW,AS,KWT,29.2733964,47.4979476
22,Saudi Arabia,28828870,65,2.25,SA,AS,SAU,25.6242618,42.3528328
23,Chile,17619708,60,3.41,CL,SA,CHL,-31.7613365,-71.3187697
24,Switzerland,8081482,59,7.3,CH,EU,CHE,46.7985624,8.2319736
25,India,1252139596,53,0.04,IN,AS,IND,22.3511148,78.6677428
26,Netherlands,16804224,45,2.68,NL,EU,NLD,52.5001698,5.7480821
27,Ireland,4595281,40,8.7,IE,EU,IRL,52.865196,-7.9794599
28,Poland,38530725,37,0.96,PL,EU,POL,52.215933,19.134422
29,Greece,11032328,30,2.72,GR,EU,GRC,38.9953683,21.9877132
30,New Zealand,4470800,26,5.82,NZ,OC,NZL,-41.5000831,172.8344077
31,Australia,23130900,24,1.04,AU,OC,AUS,-24.7761086,134.755
32,"Egypt, Arab Rep.",82056378,23,0.28,Unknown,Unknown,Unknown,,
33,Puerto Rico,3615086,21,5.81,PR,NA,PRI,18.2214149,-66.41328179513847
34,Lebanon,4467390,20,4.48,LB,AS,LBN,33.8750629,35.843409
35,Czech Republic,10521468,18,1.71,CZ,EU,CZE,49.8167003,15.4749544
36,Austria,8473786,17,2.01,AT,EU,AUT,47.2,13.2
37,Bahrain,1332171,17,12.76,BH,AS,BHR,26.1551249,50.5344606
38,Belgium,11195138,14,1.25,BE,EU,BEL,50.6402809,4.6667145
39,Qatar,2168673,13,5.99,QA,AS,QAT,25.3336984,51.2295295
40,Denmark,5613706,12,2.14,DK,EU,DNK,55.670249,10.3333283
41,Norway,5084190,11,2.16,NO,EU,NOR,60.5000209,9.0999715
42,Vietnam,89708900,11,0.12,VN,AS,VNM,13.2904027,108.4265113
43,Romania,19963581,10,0.5,RO,EU,ROU,45.9852129,24.6859225
44,Jordan,6459000,10,1.55,JO,AS,JOR,31.1667049,36.941628
45,Cyprus,1141166,9,7.89,CY,AS,CYP,34.9823018,33.1451285
46,Hungary,9897247,9,0.91,HU,EU,HUN,47.1817585,19.5060937
47,"Bahamas, The",377374,9,23.85,Unknown,Unknown,Unknown,24.7736546,-78.0000547
48,Portugal,10459806,8,0.76,PT,EU,PRT,40.0332629,-7.8896263
49,"Hong Kong SAR, China",7187500,8,1.11,Unknown,Unknown,Unknown,22.350627,114.1849161
50,Sweden,9592552,6,0.63,SE,EU,SWE,59.6749712,14.5208584
51,Oman,3632444,6,1.65,OM,AS,OMN,21.0000287,57.0036901
52,Morocco,33008150,5,0.15,MA,AF,MAR,31.1728205,-7.3362482
53,Bulgaria,7265115,5,0.69,BG,EU,BGR,42.6073975,25.4856617
54,El Salvador,6340454,5,0.79,SV,NA,SLV,13.8000382,-88.9140683
55,Guatemala,15468203,4,0.26,GT,NA,GTM,15.6356088,-89.8988087
56,Costa Rica,4872166,4,0.82,CR,NA,CRI,10.2735633,-84.0739102
57,Aruba,102911,3,29.15,AW,NA,ABW,12.4902998,-69.9609842
58,Finland,5439407,3,0.55,FI,EU,FIN,63.2467777,25.9209164
59,Colombia,48321405,2,0.04,CO,SA,COL,2.8894434,-73.783892
60,Netherland Antilles,227049,2,8.81,Unknown,Unknown,Unknown,,
61,Monaco,37831,1,26.43,MC,EU,MCO,43.73844905,7.424224092532953
